留言领域,留言类型,留言内容,回复内容
政务,投诉/求助,沈阳恒大?B睿府园区电梯内均无网络通信信号急需解决,中国联合网络通信有限公司沈阳市分公司回复：您好！收到您关于“群众反映电梯内无通信网络信号的问题”的来信后，部门进行沟通，现将有关情况回复如下：经核实，您反映浑南区恒大?B睿府园区内电梯无信号（用户在2号楼居住），经查该地点无我公司室分设备，需建设室分解决，需求点：S恒大?B睿府电梯NR，因建设过程中涉及诸多因素，具体解决时间暂时无法确定。2025年5月13日15:03，工作人员已通过电话详细向您说明了相关情况，您理解。若问题还未解决，您可以与辽宁省服务监督热线进行联系，电话96909，我们将继续为您办理。感谢您的信任和支持！中国移动通信集团辽宁有限公司沈阳市分公司回复：您好！收到您反映“关于信号问题”的来信后，我们及时进行了调查和处理，现将有关情况回复如下：您反映的位置为辽宁省沈阳市浑南区墨子山路91-2号恒大?B睿府园区、电梯位置，针对以上位置无线信号弱的情况，已提交建设需求，但是因小区居民纠纷，暂时无法建设。我司会继续协调推动解决，请您耐心等待，我们已通过相关方式进行解释说明。感谢您的信任和支持！中国电信股份有限公司沈阳市分公司回复：您好！收到您关于“电梯内无通信网络信号”的来信，我们非常重视，及时进行了调查和处理，现将有关情况回复如下：您反映在沈阳恒大?B睿府园区电梯内无信号，经现场测试，周边基站正常，室外宏站无法有效覆盖电梯，我方已调整用户占用小区功率，后续我方可根据网络建设投资情况，适当增补。您号码非电信号码，与您联系，表示无沈阳电信的号码，故无法判断该地点信号情况是否对其号码使用造成实质影响，如后续您提供沈阳电信号码，我司可以进一步核实处理。2025年5月8日15：19工作人员已通过电话详细向您说明了相关情况，您表示理解。感谢您的信任和支持！
教育,投诉/求助,哈密市第*中学，课桌太小，宽40公分，长1米2左右，初中学业繁重，课本较多，课桌太小，学生的书本都没地方放，做笔记写作业两个孩子胳膊都是碰在一起的，希望可以改善一下，椅子也是破的,网民您好，您反映学习环境的问题。经核查，哈密市第六中学课桌椅严格按照《学校课桌椅功能尺寸及技术要求》（GB/T3976-2014）等国家标准配备，目前整体符合学生使用需求。针对您反映孩子椅子破损的问题，学校已第一时间为您的孩子更换了受损椅子。感谢您的信任，希望您一如既往地关心、支持我们的工作，谢谢！
治安,投诉/求助,大东区白塔路138号财神小区南门，夜晚停满20辆左右电动车，堵满消防通道，非常危险！,您好！收到您关于“消防通道电动车堵门”的来信，我们非常重视，及时进行了调查和处理，现将有关情况回复如下：经了解，社区工作人员核实情况。华炉社区发动志愿者在白天和晚上进行交叉巡逻，在门口以及通道显著位置张贴安全通知和电动车禁止停放的警示，针对停放的每一个车辆进行张贴提醒车辆驶离，发现电动车停放立即搬离。并形成了常态工作机制，会持续开展安全巡查。另外小区内也规划了电动车停车区和充电车棚，以供电动车停放。我们已通过电话向您解释说明了该情况。感谢您对我们工作的信任与支持！
环保,投诉/求助,领导好。该店营业时间下午6点至凌晨4点，几乎所有桌位都是撑伞棚坐户外。因为建筑密集，露天场所消费者交谈，划拳各种噪音严重影响附近居民休息，深夜尤其明显。请领导走访，并要求整改。,"市民朋友：您好!具体办理情况如下：粤海街道执法队于2025年3月4日电话联系您,粤海街道执法队已派工作人员前往该处进行核实，现场已责令商铺整改并劝导顾客严禁店外大声喧哗避免扰民,后续将安排队员加强此处的市容巡查力度。若您有其它的疑问，请于工作时间致电粤海街道执法队，联系电话：26430735，地址：南山区后海大道2491号。感谢您对城市管理工作的支持与理解!南山区粤海街道办事处2025-03-04"
三农,投诉/求助,请尽快给把树疙瘩给挖掉把地犁了，乔楼乡黄楼村委卢庄村西北角，2025年1月8日把树给砍筏之后，树疙瘩一直没有给挖干净，地没有给犁,乔楼乡核实回复：接到热线办反馈后，我乡高度重视，迅速与黄楼支部书记联系，调查得知，当时集中进行树根挖掘行动时，村干部与该市民在该市民田中进行当面沟通，挖掘机马上就到该市民田中进行挖掘树根，请该市民在田中稍作等待，十几分钟后，村干部与挖掘机到该市民田中，发现该市民不在田中，村干部也没有该市民联系方式，只得先对别的村民的田地进行挖掘树根。在树根集中挖掘期间，该市民未联系村委进行挖掘树根。树根挖掘工作已经结束将近两月，该市民才来找村委进行挖掘树根申请，现无法仅对该市民一人的田地进行挖掘树根行动，经黄楼村委承诺，会在下次村委集中挖掘树根行动时，把该市民树根进行挖掘。
交通,投诉/求助,人民路靠近旧大家乐附近，单车道经常被汽车违停占道，电动车单车无法通过，走汽车道又逆行了，希望节假日多查一下路边违停车辆,尊敬的网友，您好！关于您反映的问题佛山市公安局禅城分局答复如下：根据市民反映的问题，交警部门于2月8日派出路面机巡警力到人民路56号周边路段对违停乱放车辆进行整治、教育、处罚，近期将重点加强上述路段巡逻巡查，并加大力度宣传道路交通安全法。当天对人民路56号周边路段共处罚违停乱放车辆5辆，教育劝离3辆。如需进一步咨询或反映问题，请拨打电话：110或12345咨询了解。感谢您对我们工作的关心和支持。
企业,投诉/求助,山东省泰安市东平县工业园区新*资源科技有限公司3号仓线上电话骚扰本人用短号虚拟号码平均每天打三十来个电话诈骗售卖一些三无产品主要对象诈骗老年年龄段不知道我的号码为什么会被标价天天打三十来个电话屏蔽也屏蔽不了,尊敬的网友，您好！您在人民网反映的问题，东平县市场监督管理局认真进行了调查处理，现回复如下：经查，您反映的东平县工业园区新*岳再生资源科技有限公司3号仓的经营主体为山东揽胜仓储有限公司，该公司无直接销售行为，而是为其他公司代管发货，提供仓储物流服务。收到您反映的事项后，我局已告知该公司让其与合作方进行沟通，停止向您拨打推销电话。前期我局已收到投诉举报该公司未按规定宣传商品的工单，经核查后，我局已立案调查。如您还有其他问题，请与东平县市场监管局（电话：0538-2821906）联系，我们将竭诚为您服务，谢谢您的理解和支持！
城建,投诉/求助,未装修未入住，水管开裂漏水，交房不到两年，水管开裂漏水，要求换水管，半年过去了水管换了，地漏到下水管处出现裂纹，现物业不进行维修，现在物业不处理。,
政务,投诉/求助,本人2025一月份租住西安市灞桥区南牛寺3号楼一单元*01居房东介绍他们小区停车费便宜60元一月当时物业也办理了一个季度停车费等我住进来交第二停车费的时候房东60元说租客150元这样合法合规吗\r,您好！首先感谢您对我们工作的关注和支持。经了解，灞桥区席王街道办事处于前期已发通知告知：租户车按150元/月办理。灞桥区席王街道办事处于2025年4月3日16时00分联系您告知办理情况，您表示知晓。欢迎您继续关注并监督我们的工作。承办人：张明慧，联系电话：83516908。
教育,投诉/求助,台前县新区**小学的迎门石上的“智”字被刻成了“知”下拖着一抹突兀的“白”。\r诚望该校能正视这一问题，以最快的速度将这错字巨石整改。,网民同志您好：留言收悉!台前县教育局对台前县新区第二实验小学迎门石“智”字刻写错误问题进行了调查，办理情况如下：一、调查情况经调查，你反映的《台前县新区第二实验小学迎门石“智”字刻写错误问题》问题属实。二、处理意见及落实情况根据调查情况，台前县新区第二实验小学处理意见如下：（一）立即对原石刻进行修复处理（已于2025年5月7日完成），避免错误字形继续对师生及社会公众造成误导；（二）承诺今后校园文化标识设计需严格审核，杜绝类似问题再次发生。三、改进措施下一步，我们全面排查，举一反三。重点对校园内标语、石刻、宣传栏等开展专项检查，核查书法艺术与规范汉字的协调性，发现问题限期整改；二是开展“汉字规范与文化传承”主题教育活动，通过书法比赛、规范字书写等形式，引导师生正确理解规范汉字书写的重要性。四、向来信人反馈情况5月8日，台前县教育局工作人员与留言网民取得联系，反馈了调查情况及处理意见，留言人表示认可。五、办理单位：台前县教育局
